S.No,Emp ID,Basic,HRA,Conveyance,W.A,PF,ESI,OT
1,1002,14625,10238,2925,1462,Yes,Yes,No
2,1005,14500,10150,2900,1450,Yes,Yes,Yes
3,1006,10375,7263,2075,1037,Yes,Yes,Yes
4,1009,5626,3938,1125,562,Yes,Yes,Yes
5,1010,7750,5425,1550,775,Yes,Yes,Yes
6,1003,18500,12950,3700,1850,Yes,Yes,Yes
7,1016,7500,5250,1500,750,Yes,Yes,No
8,1019,9750,6825,1950,975,Yes,Yes,No
9,1021,7500,5250,1500,750,Yes,Yes,No
10,1022,10750,7525,2150,1075,Yes,Yes,No
11,1025,9000,6300,1800,900,Yes,Yes,Yes
12,1026,6000,4200,1200,600,Yes,Yes,Yes
13,1027,21500,15050,4300,2150,Yes,Yes,No
